 area_unit,bathrooms,bedrooms,home_size,home_type,last_sold_date,last_sold_price,link,price,property_size,rent_price,rentzestimate_amount,rentzestimate_last_updated,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,zillow_id,address,city,state,zipcode
 SqFt,4.0,4,3026,SingleFamily,06/28/2017,2400000,https://www.zillow.com/homedetails/24400-Little-Valley-Rd-Hidden-Hills-CA-91302/19882794_zpid/,$2.4M,76040,,8824,08/07/2018,224304.0,2017,1956,2665378,08/07/2018,19882794,24400 Little Valley Rd,Hidden Hills,CA,91302
 SqFt,4.0,4,2236,SingleFamily,07/03/2018,2499000,https://www.zillow.com/homedetails/5808-Hilltop-Rd-Hidden-Hills-CA-91302/19882797_zpid/,$2.5M,46752,,8999,08/07/2018,1683000.0,2017,1957,2509847,08/07/2018,19882797,5808 Hilltop Rd,Hidden Hills,CA,91302
 SqFt,3.0,4,2637,SingleFamily,06/07/2018,2200000,https://www.zillow.com/homedetails/24140-Lupin-Hill-Rd-Hidden-Hills-CA-91302/19882814_zpid/,$2.2M,68810,,7633,08/07/2018,198107.0,2017,1963,2240522,08/07/2018,19882814,24140 Lupin Hill Rd,Hidden Hills,CA,91302
 SqFt,4.0,4,4343,SingleFamily,02/07/2017,2900000,https://www.zillow.com/homedetails/5625-Penland-Rd-Hidden-Hills-CA-91302/19882827_zpid/,$2.9M,79279,,10195,08/07/2018,703575.0,2017,1976,3283281,08/07/2018,19882827,5625 Penland Rd,Hidden Hills,CA,91302
 SqFt,6.0,6,5157,SingleFamily,06/14/2016,2832000,https://www.zillow.com/homedetails/24350-Long-Valley-Rd-Hidden-Hills-CA-91302/19882839_zpid/,$2.83M,50094,,12421,08/07/2018,2888640.0,2017,1985,3359785,08/07/2018,19882839,24350 Long Valley Rd,Hidden Hills,CA,91302
 SqFt,4.0,5,3073,SingleFamily,03/21/2018,2060000,https://www.zillow.com/homedetails/24563-John-Colter-Rd-Hidden-Hills-CA-91302/19882972_zpid/,$12K,53665,,8999,08/07/2018,1661374.0,2017,1981,2149541,08/07/2018,19882972,24563 John Colter Rd,Hidden Hills,CA,91302
 SqFt,4.0,4,3102,SingleFamily,01/08/2018,2700000,https://www.zillow.com/homedetails/5621-Hoback-Glen-Rd-Hidden-Hills-CA-91302/19882992_zpid/,$2.7M,77101,,9262,08/07/2018,575717.0,2017,1969,2801130,08/07/2018,19882992,5621 Hoback Glen Rd,Hidden Hills,CA,91302
 SqFt,6.0,5,4900,SingleFamily,07/17/2014,2293000,https://www.zillow.com/homedetails/5460-Round-Meadow-Rd-Hidden-Hills-CA-91302/19883013_zpid/,$2.73M,47462,,12068,08/07/2018,2374526.0,2017,1957,3010164,08/07/2018,19883013,5460 Round Meadow Rd,Hidden Hills,CA,91302
 SqFt,4.0,4,4201,SingleFamily,04/06/2018,2850000,https://www.zillow.com/homedetails/5505-Hoback-Glen-Rd-Hidden-Hills-CA-91302/19883021_zpid/,$2.85M,61855,,9775,08/07/2018,552730.0,2017,1962,2941044,08/07/2018,19883021,5505 Hoback Glen Rd,Hidden Hills,CA,91302
 SqFt,6.0,5,5360,SingleFamily,11/09/2016,2900000,https://www.zillow.com/homedetails/24350-Bridle-Trail-Rd-Hidden-Hills-CA-91302/19883127_zpid/,$2.90M,43560,,10949,08/07/2018,2900000.0,2017,1981,3500641,08/07/2018,19883127,24350 Bridle Trail Rd,Hidden Hills,CA,91302
 SqFt,6.0,5,6180,SingleFamily,06/09/2016,2790000,https://www.zillow.com/homedetails/24975-Eldorado-Meadow-Rd-Hidden-Hills-CA-91302/19883200_zpid/,$2.79M,44648,,11936,08/07/2018,2845800.0,2017,1990,3417658,08/07/2018,19883200,24975 Eldorado Meadow Rd,Hidden Hills,CA,91302
 SqFt,7.5,6,7231,SingleFamily,12/21/2017,2725000,https://www.zillow.com/homedetails/4218-Vicasa-Dr-Calabasas-CA-91302/19896636_zpid/,$2.73M,54663,,11500,08/07/2018,1527684.0,2017,1997,2889180,08/07/2018,19896636,4218 Vicasa Dr,Calabasas,CA,91302
 SqFt,6.0,5,5298,SingleFamily,10/21/2011,1825000,https://www.zillow.com/homedetails/24915-Palmilla-Dr-Calabasas-CA-91302/19897834_zpid/,$2.65M,11678,,10500,08/07/2018,1975122.0,2017,1989,2634692,08/07/2018,19897834,24915 Palmilla Dr,Calabasas,CA,91302
 SqFt,5.0,5,5324,SingleFamily,08/12/2015,2267500,https://www.zillow.com/homedetails/24903-Bella-Vista-Dr-Calabasas-CA-91302/19897914_zpid/,$15K,12283,,10000,08/07/2018,2312850.0,2017,1991,2820065,08/07/2018,19897914,24903 Bella Vista Dr,Calabasas,CA,91302
 SqFt,4.0,5,4206,SingleFamily,09/01/2016,2200000,https://www.zillow.com/homedetails/22924-Blue-Bird-Dr-Calabasas-CA-91302/19901264_zpid/,$2.2M,87000,,7882,08/07/2018,1929000.0,2017,1958,1883844,08/07/2018,19901264,22924 Blue Bird Dr,Calabasas,CA,91302
 SqFt,2.0,4,1459,SingleFamily,07/20/2018,710000,https://www.zillow.com/homedetails/7711-Owensmouth-Ave-Canoga-Park-CA-91304/19910720_zpid/,$710K,11199,,3000,08/07/2018,540600.0,2017,1954,644841,08/07/2018,19910720,7711 Owensmouth Ave,Canoga Park,CA,91304
 SqFt,3.0,4,1457,SingleFamily,03/21/2018,795000,https://www.zillow.com/homedetails/6218-Balcom-Ave-Encino-CA-91316/19918490_zpid/,$795K,6246,,3495,08/07/2018,693000.0,2017,1951,814908,08/07/2018,19918490,6218 Balcom Ave,Encino,CA,91316
 SqFt,2.0,4,1584,SingleFamily,09/02/2016,619000,https://www.zillow.com/homedetails/19609-Friar-St-Tarzana-CA-91335/19924684_zpid/,$5K,1955,,3100,08/07/2018,619000.0,2017,1956,668410,08/07/2018,19924684,19609 Friar St,Tarzana,CA,91335
 SqFt,3.0,4,1479,SingleFamily,06/08/2018,750000,https://www.zillow.com/homedetails/6407-Oakdale-Ave-Woodland-Hills-CA-91367/19925304_zpid/,$750K,7511,,3000,08/07/2018,529455.0,2017,1954,669384,08/07/2018,19925304,6407 Oakdale Ave,Woodland Hills,CA,91367
 SqFt,2.0,4,1442,SingleFamily,06/11/2018,725000,https://www.zillow.com/homedetails/6445-Jumilla-Ave-Woodland-Hills-CA-91367/19925376_zpid/,$725K,7562,,3000,08/07/2018,565088.0,2017,1954,645869,08/07/2018,19925376,6445 Jumilla Ave,Woodland Hills,CA,91367
 SqFt,3.0,4,1832,SingleFamily,03/15/2018,615000,https://www.zillow.com/homedetails/22335-Kittridge-St-Woodland-Hills-CA-91303/19928107_zpid/,$6.9K,7553,,3000,08/07/2018,447996.0,2017,1958,655341,08/07/2018,19928107,22335 Kittridge St,Woodland Hills,CA,91303
 SqFt,3.0,4,,SingleFamily,12/09/2005,899000,https://www.zillow.com/homedetails/6050-Corbin-Ave-Tarzana-CA-91356/19932706_zpid/,$1.3M,,,4750,08/07/2018,994000.0,2017,,1260015,08/07/2018,19932706,6050 Corbin Ave,Tarzana,CA,91356
 SqFt,2.0,4,1739,SingleFamily,06/10/2016,1075000,https://www.zillow.com/homedetails/6007-Calvin-Ave-Tarzana-CA-91356/19932844_zpid/,$1.07M,22651,,3595,08/07/2018,1096500.0,2017,1941,936534,08/07/2018,19932844,6007 Calvin Ave,Tarzana,CA,91356
 SqFt,3.0,4,1073,SingleFamily,07/24/1990,195000,https://www.zillow.com/homedetails/5856-Alonzo-Ave-Encino-CA-91316/19936817_zpid/,$845K,6708,,2800,08/07/2018,336727.0,2017,1949,825550,08/07/2018,19936817,5856 Alonzo Ave,Encino,CA,91316
 SqFt,3.1,4,806,SingleFamily,06/30/2017,950000,https://www.zillow.com/homedetails/5958-Yarmouth-Ave-Encino-CA-91316/19936934_zpid/,$950K,5701,,2600,08/07/2018,530000.0,2017,1949,787176,08/07/2018,19936934,5958 Yarmouth Ave,Encino,CA,91316
 SqFt,8.0,7,7200,SingleFamily,05/31/2017,2753750,https://www.zillow.com/homedetails/5450-Topeka-Dr-Tarzana-CA-91356/19937413_zpid/,$2.75M,17517,,10878,08/07/2018,1211194.0,2017,1910,3012573,08/07/2018,19937413,5450 Topeka Dr,Tarzana,CA,91356
 SqFt,2.0,4,1553,SingleFamily,09/23/2015,1062000,https://www.zillow.com/homedetails/5430-Geyser-Ave-Tarzana-CA-91356/19937530_zpid/,$1.06M,5997,,4476,08/07/2018,87390.0,2017,1950,849949,08/07/2018,19937530,5430 Geyser Ave,Tarzana,CA,91356
 SqFt,6.75,5,5300,SingleFamily,04/24/2018,2750000,https://www.zillow.com/homedetails/5201-Veloz-Ave-Tarzana-CA-91356/19937901_zpid/,$2.75M,17127,,8574,08/07/2018,989400.0,2017,2017,3114202,08/07/2018,19937901,5201 Veloz Ave,Tarzana,CA,91356
 SqFt,7.0,6,5600,SingleFamily,05/27/2016,2610000,https://www.zillow.com/homedetails/19425-Shirley-Ct-Tarzana-CA-91356/19940308_zpid/,$2.61M,22234,,10561,08/07/2018,2662200.0,2017,2015,3067589,08/07/2018,19940308,19425 Shirley Ct,Tarzana,CA,91356
 SqFt,,4,3870,VacantResidentialLand,07/17/2017,1400000,https://www.zillow.com/homedetails/5371-Vanalden-Ave-Tarzana-CA-91356/19940404_zpid/,$2.8M,33750,,6850,08/07/2018,1201000.0,2017,1959,,01/01/1970,19940404,5371 Vanalden Ave,Tarzana,CA,91356
 SqFt,5.5,5,6253,SingleFamily,08/28/2015,2683000,https://www.zillow.com/homedetails/5131-Topeka-Dr-Tarzana-CA-91356/19940664_zpid/,$2.68M,19466,,11650,08/07/2018,2736660.0,2017,2015,3327572,08/07/2018,19940664,5131 Topeka Dr,Tarzana,CA,91356
 SqFt,5.0,5,4310,SingleFamily,07/15/2016,2405000,https://www.zillow.com/homedetails/19822-Santa-Rita-St-Woodland-Hills-CA-91364/19940700_zpid/,$2.4M,16814,,8288,08/07/2018,2405000.0,2017,1966,2798607,08/07/2018,19940700,19822 Santa Rita St,Woodland Hills,CA,91364
 SqFt,6.0,5,7123,SingleFamily,07/16/2004,2025000,https://www.zillow.com/homedetails/19546-Redwing-St-Tarzana-CA-91356/19940891_zpid/,$2.77M,25953,,12995,08/07/2018,2212000.0,2017,1990,2878103,08/07/2018,19940891,19546 Redwing St,Tarzana,CA,91356
 SqFt,8.0,6,7678,SingleFamily,06/30/2004,2275000,https://www.zillow.com/homedetails/4641-Morro-Dr-Woodland-Hills-CA-91364/19944706_zpid/,$2.6M,21448,,12900,08/07/2018,2315000.0,2017,2003,3033157,08/07/2018,19944706,4641 Morro Dr,Woodland Hills,CA,91364
 SqFt,6.0,4,7461,SingleFamily,02/21/2006,2850000,https://www.zillow.com/homedetails/3823-Saint-Johnswood-Dr-Woodland-Hills-CA-91364/19945546_zpid/,$2.59M,80150,,15000,08/07/2018,1719037.0,2017,1976,2851286,08/07/2018,19945546,3823 Saint Johnswood Dr,Woodland Hills,CA,91364
 SqFt,5.0,5,6200,SingleFamily,05/03/2016,2625000,https://www.zillow.com/homedetails/4739-Westchester-Dr-Woodland-Hills-CA-91364/19945830_zpid/,$2.62M,19166,,11500,08/07/2018,2677500.0,2017,1986,3099331,08/07/2018,19945830,4739 Westchester Dr,Woodland Hills,CA,91364
 SqFt,8.0,6,8909,SingleFamily,08/25/2017,2800000,https://www.zillow.com/homedetails/20637-Kingsboro-Way-Woodland-Hills-CA-91364/19945832_zpid/,$2.8M,17437,,12000,08/07/2018,2875596.0,2017,1988,2995333,08/07/2018,19945832,20637 Kingsboro Way,Woodland Hills,CA,91364
 SqFt,5.0,5,8348,SingleFamily,,,https://www.zillow.com/homedetails/4440-Vanceboro-Ct-Woodland-Hills-CA-91364/19946042_zpid/,$2.95M,17545,,10000,08/07/2018,2590269.0,2017,1990,2915567,08/07/2018,19946042,4440 Vanceboro Ct,Woodland Hills,CA,91364
 SqFt,5.0,6,5415,SingleFamily,05/14/2015,2350000,https://www.zillow.com/homedetails/19256-Casa-Pl-Tarzana-CA-91356/19946300_zpid/,$2.90M,18400,,10800,08/07/2018,2433552.0,2017,1978,2970301,08/07/2018,19946300,19256 Casa Pl,Tarzana,CA,91356
 SqFt,3.5,4,3174,SingleFamily,09/19/2017,1750000,https://www.zillow.com/homedetails/4955-Winnetka-Ave-Woodland-Hills-CA-91364/19946624_zpid/,$12K,17856,,5500,08/07/2018,907800.0,2017,1955,1447900,08/07/2018,19946624,4955 Winnetka Ave,Woodland Hills,CA,91364
 SqFt,5.0,5,4300,SingleFamily,09/08/2017,1400000,https://www.zillow.com/homedetails/4945-Casa-Dr-Tarzana-CA-91356/19946964_zpid/,$2.5M,22838,,6000,08/07/2018,898131.0,2017,1979,2132404,08/07/2018,19946964,4945 Casa Dr,Tarzana,CA,91356
 SqFt,6.0,6,5650,SingleFamily,07/19/2017,1500000,https://www.zillow.com/homedetails/18860-Ringling-St-Tarzana-CA-91356/19947028_zpid/,$2.6M,20146,,,,599486.0,2017,2017,2614077,08/07/2018,19947028,18860 Ringling St,Tarzana,CA,91356
 SqFt,8.0,7,7049,SingleFamily,,,https://www.zillow.com/homedetails/4844-Brewster-Dr-Tarzana-CA-91356/19947077_zpid/,$3.00M,55944,,12035,08/07/2018,413826.0,2017,1947,3407740,08/07/2018,19947077,4844 Brewster Dr,Tarzana,CA,91356
 SqFt,7.0,7,9200,SingleFamily,05/27/2016,2800000,https://www.zillow.com/homedetails/19050-Ashurst-Ln-Tarzana-CA-91356/19948185_zpid/,$2.8M,34020,,17000,08/07/2018,2856000.0,2017,2003,3319764,08/07/2018,19948185,19050 Ashurst Ln,Tarzana,CA,91356
 SqFt,7.0,6,5487,SingleFamily,04/06/2018,2882000,https://www.zillow.com/homedetails/19103-Marlia-Ct-Tarzana-CA-91356/19948215_zpid/,$2.88M,18269,,11800,08/07/2018,2358750.0,2017,1998,2937965,08/07/2018,19948215,19103 Marlia Ct,Tarzana,CA,91356
 SqFt,8.0,5,6549,SingleFamily,09/28/2017,2875000,https://www.zillow.com/homedetails/19110-Marlia-Ct-Tarzana-CA-91356/19948219_zpid/,$2.88M,33105,,10800,08/07/2018,1847375.0,2017,1998,3056326,08/07/2018,19948219,19110 Marlia Ct,Tarzana,CA,91356
 SqFt,7.0,6,6399,SingleFamily,02/14/2017,2675000,https://www.zillow.com/homedetails/3815-Marfield-Ave-Tarzana-CA-91356/19948228_zpid/,$2.67M,23522,,11000,08/07/2018,1620986.0,2017,1997,3004902,08/07/2018,19948228,3815 Marfield Ave,Tarzana,CA,91356
 SqFt,7.0,5,6399,SingleFamily,05/22/2006,2750000,https://www.zillow.com/homedetails/19220-Allandale-Dr-Tarzana-CA-91356/19948254_zpid/,$2.8M,17511,,12000,08/07/2018,2610000.0,2017,1999,2990427,08/07/2018,19948254,19220 Allandale Dr,Tarzana,CA,91356
 SqFt,6.0,5,6399,SingleFamily,03/29/2017,2580000,https://www.zillow.com/homedetails/3720-Litchfield-Ln-Tarzana-CA-91356/19948258_zpid/,$2.58M,21344,,11500,08/07/2018,2434000.0,2017,1998,2911844,08/07/2018,19948258,3720 Litchfield Ln,Tarzana,CA,91356
 SqFt,7.0,5,6399,SingleFamily,12/21/1998,1267000,https://www.zillow.com/homedetails/3727-Winford-Dr-Tarzana-CA-91356/19948282_zpid/,$2.90M,39535,,10800,08/07/2018,1763349.0,2017,1998,3007932,08/07/2018,19948282,3727 Winford Dr,Tarzana,CA,91356
 SqFt,7.0,5,6381,SingleFamily,08/10/2016,2800000,https://www.zillow.com/homedetails/3747-Winford-Dr-Tarzana-CA-91356/19948287_zpid/,$2.8M,39312,,14000,08/07/2018,2800000.0,2017,1998,3249692,08/07/2018,19948287,3747 Winford Dr,Tarzana,CA,91356
 SqFt,5.0,4,4050,SingleFamily,02/16/2018,2200000,https://www.zillow.com/homedetails/3755-Winford-Dr-Tarzana-CA-91356/19948289_zpid/,$2.2M,17554,,9500,08/07/2018,1325922.0,2017,1998,2197636,08/07/2018,19948289,3755 Winford Dr,Tarzana,CA,91356
 SqFt,5.0,4,4050,SingleFamily,04/29/2016,2295000,https://www.zillow.com/homedetails/19361-Redbridge-Ln-Tarzana-CA-91356/19948295_zpid/,$2.29M,50291,,10500,08/07/2018,2340900.0,2017,1998,2702312,08/07/2018,19948295,19361 Redbridge Ln,Tarzana,CA,91356
 SqFt,4.1,4,5501,SingleFamily,04/23/2018,2625000,https://www.zillow.com/homedetails/3783-Winford-Dr-Tarzana-CA-91356/19948307_zpid/,$2.62M,25068,,10800,08/07/2018,1470730.0,2017,1995,2663177,08/07/2018,19948307,3783 Winford Dr,Tarzana,CA,91356
 SqFt,7.0,7,8518,SingleFamily,05/03/2016,2980000,https://www.zillow.com/homedetails/4643-Caritina-Dr-Tarzana-CA-91356/19948515_zpid/,$2.98M,41604,,16500,08/07/2018,3039600.0,2017,1957,3520421,08/07/2018,19948515,4643 Caritina Dr,Tarzana,CA,91356
 SqFt,8.0,7,9800,SingleFamily,06/05/2015,2100000,https://www.zillow.com/homedetails/4631-Caritina-Dr-Tarzana-CA-91356/134762235_zpid/,$3.00M,82132,,15547,08/07/2018,652399.0,2017,2018,6208660,08/07/2018,134762235,4631 Caritina Dr,Tarzana,CA,91356
 SqFt,6.0,4,5663,SingleFamily,11/30/2016,2585000,https://www.zillow.com/homedetails/4400-Ellenita-Ave-Tarzana-CA-91356/19948660_zpid/,$2.58M,17275,,11500,08/07/2018,2585000.0,2017,2010,2948512,08/07/2018,19948660,4400 Ellenita Ave,Tarzana,CA,91356
 SqFt,2.0,4,1486,SingleFamily,05/21/2018,850000,https://www.zillow.com/homedetails/5011-Hesperia-Ave-Encino-CA-91316/19949743_zpid/,$850K,7022,,3300,08/07/2018,714000.0,2017,1948,866564,08/07/2018,19949743,5011 Hesperia Ave,Encino,CA,91316
